trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
50000_O_0001_1_0810_1,08:10:00,08:10:00,129A00,1,,0,1,,1
50000_O_0001_1_0810_1,08:16:00,08:16:00,7475_A,2,,1,0,,1
50000_O_0001_1_0800_0,08:00:00,08:00:00,7475_A,1,,0,1,,1
50000_O_0001_1_0800_0,08:06:00,08:06:00,129A00,2,,1,0,,1
50000_O_0001_1_0805_0,08:05:00,08:05:00,7475_A,1,,0,1,,1
50000_O_0001_1_0805_0,08:11:00,08:11:00,129A00,2,,1,0,,1
50000_O_0001_1_0810_0,08:10:00,08:10:00,7475_A,1,,0,1,,1
50000_O_0001_1_0810_0,08:16:00,08:16:00,129A00,2,,1,0,,1
50000_O_0001_5_0810_1,08:10:00,08:10:00,129A00,1,,0,1,,1
50000_O_0001_5_0810_1,08:16:00,08:16:00,7475_A,2,,1,0,,1
50000_O_0001_5_0800_0,08:00:00,08:00:00,7475_A,1,,0,1,,1
50000_O_0001_5_0800_0,08:06:00,08:06:00,129A00,2,,1,0,,1
50000_O_0001_5_0805_0,08:05:00,08:05:00,7475_A,1,,0,1,,1
50000_O_0001_5_0805_0,08:11:00,08:11:00,129A00,2,,1,0,,1
50000_O_0001_5_0810_0,08:10:00,08:10:00,7475_A,1,,0,1,,1
50000_O_0001_5_0810_0,08:16:00,08:16:00,129A00,2,,1,0,,1
50000_O_0001_2_0830_1,08:30:00,08:30:00,129A00,1,,0,1,,1
50000_O_0001_2_0830_1,08:36:00,08:36:00,7475_A,2,,1,0,,1
50000_O_0001_2_0840_1,08:40:00,08:40:00,129A00,1,,0,1,,1
50000_O_0001_2_0840_1,08:46:00,08:46:00,7475_A,2,,1,0,,1
50000_O_0001_1_0900_1,09:00:00,09:00:00,129A00,1,,0,1,,1
50000_O_0001_1_0900_1,09:06:00,09:06:00,7475_A,2,,1,0,,1
50000_O_0001_1_0915_1,09:15:00,09:15:00,129A00,1,,0,1,,1
50000_O_0001_1_0915_1,09:21:00,09:21:00,7475_A,2,,1,0,,1
50000_O_0001_1_0930_1,09:30:00,09:30:00,129A00,1,,0,1,,1
50000_O_0001_1_0930_1,09:36:00,09:36:00,7475_A,2,,1,0,,1
50000_O_0001_1_0940_1,09:40:00,09:40:00,129A00,1,,0,1,,1
50000_O_0001_1_0940_1,09:46:00,09:46:00,7475_A,2,,1,0,,1
50000_O_0001_1_0950_1,09:50:00,09:50:00,129A00,1,,0,1,,1
50000_O_0001_1_0950_1,09:56:00,09:56:00,7475_A,2,,1,0,,1
50000_O_0001_1_0955_1,09:55:00,09:55:00,129A00,1,,0,1,,1
50000_O_0001_1_0955_1,10:01:00,10:01:00,7475_A,2,,1,0,,1
50000_O_0001_1_0900_0,09:00:00,09:00:00,7475_A,1,,0,1,,1
50000_O_0001_1_0900_0,09:06:00,09:06:00,129A00,2,,1,0,,1
50000_O_0001_1_0910_0,09:10:00,09:10:00,7475_A,1,,0,1,,1
50000_O_0001_1_0910_0,09:16:00,09:16:00,129A00,2,,1,0,,1
50000_O_0001_1_0925_0,09:25:00,09:25:00,7475_A,1,,0,1,,1
50000_O_0001_1_0925_0,09:31:00,09:31:00,129A00,2,,1,0,,1
50000_O_0001_1_0940_0,09:40:00,09:40:00,7475_A,1,,0,1,,1
50000_O_0001_1_0940_0,09:46:00,09:46:00,129A00,2,,1,0,,1
