table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,京都産業大学前,,,京都産業大学前
stops,stop_name,ja-Hrkt,きょうとさんぎょうだいがくまえ,,,京都産業大学前
stops,stop_name,en,Kyoto Sangyo University,,,京都産業大学前
stops,stop_desc,ja,京都産業大学前（シャトルバス）,,,京都産業大学前（シャトルバス）
stops,stop_desc,ja-Hrkt,きょうとさんぎょうだいがくまえ（しゃとるばす）,,,京都産業大学前（シャトルバス）
stops,stop_desc,en,Kyoto Sangyo University (Shuttle Bus),,,京都産業大学前（シャトルバス）
stops,stop_name,ja,上賀茂神社前,,,上賀茂神社前
stops,stop_name,ja-Hrkt,かみがもじんじゃまえ,,,上賀茂神社前
stops,stop_name,en,Kamigamo Jinja-mae (Kamigamo-jinja Shrine),,,上賀茂神社前
stops,stop_desc,ja,上賀茂神社前（上賀茂シャトル）,,,上賀茂神社前（上賀茂シャトル）
stops,stop_desc,ja-Hrkt,かみがもじんじゃまえ（かみがもじんじゃまえ（しゃとるばす））,,,上賀茂神社前（上賀茂シャトル）
stops,stop_desc,en,Kamigamo Jinja-mae (Kamigamo-jinja Shrine) (Kamigamo Shuttle),,,上賀茂神社前（上賀茂シャトル）
stops,stop_name,ja,西賀茂車庫前,,,西賀茂車庫前
stops,stop_name,ja-Hrkt,にしがもしゃこまえ,,,西賀茂車庫前
stops,stop_name,en,Nishigamo Shako-mae,,,西賀茂車庫前
stops,stop_desc,ja,西賀茂車庫前（上賀茂シャトル臨時停留所）,,,西賀茂車庫前（上賀茂シャトル臨時停留所）
stops,stop_desc,ja-Hrkt,にしがもしゃこまえ（かみがもしゃとるりんじていりゅうじょ）,,,西賀茂車庫前（上賀茂シャトル臨時停留所）
stops,stop_desc,en,Nishigamo Shako-mae (Kamigamo Shuttle Temporary Stop),,,西賀茂車庫前（上賀茂シャトル臨時停留所）
stops,stop_name,ja,二軒茶屋,,,二軒茶屋
stops,stop_name,ja-Hrkt,にけんちゃや,,,二軒茶屋
stops,stop_name,en,Nikenchaya,,,二軒茶屋
stops,stop_desc,ja,二軒茶屋（二軒茶屋シャトル）,,,二軒茶屋（二軒茶屋シャトル）
stops,stop_desc,ja-Hrkt,にけんちゃや（にけんちゃやしゃとる）,,,二軒茶屋（二軒茶屋シャトル）
stops,stop_desc,en,Nikenchaya (Nikenchaya Shuttle),,,二軒茶屋（二軒茶屋シャトル）
stops,stop_name,ja,総合グラウンド,,,総合グラウンド
stops,stop_name,ja-Hrkt,そうごうぐらうんど,,,総合グラウンド
stops,stop_name,en,Sogo Ground,,,総合グラウンド
stops,stop_desc,ja,総合グラウンド（体育館シャトル）,,,総合グラウンド（体育館シャトル）
stops,stop_desc,ja-Hrkt,そうごうぐらうんど（たいいくかんシャトル）,,,総合グラウンド（体育館シャトル）
stops,stop_desc,en,Sogo Ground (University Gymnasium Shuttle),,,総合グラウンド（体育館シャトル）
routes,route_short_name,ja,上賀茂シャトル,,,上賀茂シャトル
routes,route_short_name,ja-Hrkt,かみがもしゃとる,,,上賀茂シャトル
routes,route_short_name,en,Kamigamo Shuttle,,,上賀茂シャトル
routes,route_long_name,ja,京都産業大学〜上賀茂神社,,,京都産業大学〜上賀茂神社
routes,route_long_name,ja-Hrkt,きょうとさんぎょうだいがく〜かみがもじんじゃ,,,京都産業大学〜上賀茂神社
routes,route_long_name,en,Kyoto Sangyo University〜Kamigamo-Jinja Shrine,,,京都産業大学〜上賀茂神社
routes,jp_parent_route_id,ja,【上賀茂シャトル】,,,【上賀茂シャトル】
routes,jp_parent_route_id,ja-Hrkt,【かみがもしゃとる】,,,【上賀茂シャトル】
routes,jp_parent_route_id,en,【Kamigamo Shuttle】,,,【上賀茂シャトル】
routes,route_short_name,ja,【迂回】上賀茂シャトル,,,【迂回】上賀茂シャトル
routes,route_short_name,ja-Hrkt,【うかい】かみがもしゃとる,,,【迂回】上賀茂シャトル
routes,route_short_name,en,【Detour】Kamigamo Shuttle,,,【迂回】上賀茂シャトル
routes,route_long_name,ja,【迂回運行】京都産業大学〜西賀茂車庫,,,【迂回】京都産業大学〜西賀茂車庫
routes,route_long_name,ja-Hrkt,【うかいうんこう】きょうとさんぎょうだいがく〜にしがもしゃこまえ,,,【迂回】京都産業大学〜西賀茂車庫
routes,route_long_name,en,【Detour】Kyoto Sangyo University〜Nishigamo Shako-mae,,,【迂回】京都産業大学〜西賀茂車庫
routes,route_short_name,ja,二軒茶屋シャトル,,,二軒茶屋シャトル
